sample_nr,plot_id,sample_id,wheat_var,trt,pos_y,dry_weight,num_heads,dw_per_stem,rep_til_mean,weight_head,weight_kernels_per_head,nr_kernels_per_head
Exp_9_71,plot_36,WT18_a,claro,W,49.5,1545.44,456,3.066349206,2.4,2.4608,1.9928,44.4
Exp_9_72,plot_36,WT18_b,claro,W,49.5,1736.16,504,3.444761905,2.8,2.42,1.8828,40
Exp_9_73,plot_37,bx19_a,claro,b,58.5,1255.04,376,3.268333333,3,2.1394,1.739,44
Exp_9_74,plot_37,bx19_b,claro,b,58.5,1173.84,312,3.66825,2.2,2.3774,1.9312,44.6
Exp_9_75,plot_38,WT19_a,claro,W,67.5,1855.2,560,3.312857143,4.4,2.192,1.7812,41.2
Exp_9_76,plot_38,WT19_b,claro,W,67.5,1141.04,320,3.56575,3.8,2.7742,2.3006,51.4
Exp_9_77,plot_39,bx20_a,claro,b,76.5,1205.2,320,3.586904762,2.6,2.3574,1.8532,47.6
Exp_9_78,plot_39,bx20_b,claro,b,76.5,1712.8,504,3.3453125,3,2.2398,1.852,44
Exp_9_79,plot_40,WT20_a,claro,W,85.5,1541.36,488,3.15852459,2.8,2.1142,1.703,43
Exp_9_80,plot_40,WT20_b,claro,W,85.5,1783.44,512,3.429692308,2.8,2.6312,2.1672,49.6
Exp_9_81,plot_41,bx21_a,sailor,b,4.5,1637.84,552,2.967101449,2.6,2.6484,2.1136,53.8
Exp_9_82,plot_41,bx21_b,sailor,b,4.5,1560.96,584,2.636756757,3.8,1.4544,1.0692,41.2
Exp_9_83,plot_42,WT21_a,sailor,W,13.5,1886.24,640,2.94725,3.2,1.991,1.6264,45.4
Exp_9_84,plot_42,WT21_b,sailor,W,13.5,2097.36,680,3.084352941,4.4,2.7104,2.2108,57.2
Exp_9_85,plot_43,bx22_a,sailor,b,22.5,1852.32,640,2.858518519,3,2.4518,1.929,50.6
Exp_9_86,plot_43,bx22_b,sailor,b,22.5,1628.96,464,3.510689655,2.8,2.444,1.978,53.6
Exp_9_87,plot_44,WT22_a,sailor,W,31.5,2073.76,752,2.700208333,4,1.8158,1.3992,44.2
Exp_9_88,plot_44,WT22_b,sailor,W,31.5,1233.2,488,2.52704918,5.8,2.0974,1.6768,50
Exp_9_89,plot_45,bx23_a,sailor,b,40.5,1164.88,432,2.696481481,2.6,2.5126,1.9936,58.2
Exp_9_90,plot_45,bx23_b,sailor,b,40.5,1318.64,504,2.57546875,3,1.7312,1.3718,38.2
Exp_9_91,plot_46,WT23_a,sailor,W,49.5,1663.2,648,2.566666667,3.8,2.346,1.8212,48.8
Exp_9_92,plot_46,WT23_b,sailor,W,49.5,1830,624,2.932692308,3,2.3006,1.8616,51.4
Exp_9_93,plot_47,bx24_a,sailor,b,58.5,1745.68,680,2.424555556,2.6,2.1366,1.6788,48.8
Exp_9_94,plot_47,bx24_b,sailor,b,58.5,1059.84,456,2.324210526,3.6,1.581,1.1796,36
Exp_9_95,plot_48,WT24_a,sailor,W,67.5,1565.04,664,2.356987952,4.4,1.7854,1.3084,48.6
Exp_9_96,plot_48,WT24_b,sailor,W,67.5,1663.84,696,2.336853933,3.6,1.824,1.3996,44.2
Exp_9_97,plot_49,bx25_a,sailor,b,76.5,995.04,464,2.144482759,3,2.2262,1.7746,52.4
Exp_9_98,plot_49,bx25_b,sailor,b,76.5,1115.12,456,2.445438596,3,1.6464,1.2084,41.4
Exp_9_99,plot_50,WT25_a,sailor,W,85.5,2123.04,680,3.015681818,5.4,1.8566,1.4392,50
Exp_9_100,plot_50,WT25_b,sailor,W,85.5,1515.84,528,2.870909091,3.2,1.7708,1.383,44.6
Exp_9_101,plot_51,bx26_a,sailor,b,4.5,2598.24,792,3.215643564,2.6,2.658,2.12,48.4
Exp_9_102,plot_51,bx26_b,sailor,b,4.5,1683.28,672,2.504880952,2.6,2.4024,1.9394,50.4
Exp_9_103,plot_52,WT26_a,sailor,W,13.5,2143.04,744,2.880430108,5.6,2.2232,1.8106,47.6
Exp_9_104,plot_52,WT26_b,sailor,W,13.5,1862.8,608,3.063815789,4.8,2.4234,2.0056,47.2
Exp_9_105,plot_53,bx27_a,sailor,b,22.5,1474.48,432,3.413148148,2.6,2.3158,1.8652,49.2
Exp_9_106,plot_53,bx27_b,sailor,b,22.5,2478.4,728,3.404395604,3.2,2.4024,2.0794,44.8
Exp_9_107,plot_54,WT27_a,sailor,W,31.5,1461.76,576,2.469189189,3.8,2.3142,1.7958,49.6
Exp_9_108,plot_54,WT27_b,sailor,W,31.5,1883.12,776,2.426701031,5.2,1.6254,1.2552,40.4
Exp_9_109,plot_55,bx28_a,sailor,b,40.5,1138.32,432,2.635,3.2,2.508,2.0346,61
Exp_9_110,plot_55,bx28_b,sailor,b,40.5,1113.68,440,2.400172414,3.4,1.8332,1.3766,45.8
