"plot_id","sample_id","wheat_var","trt","pos_y","compound_name","ng_mL"
"plot_46","WT23","sailor","W",49.5,"MBOA",4.06
"plot_46","WT23","sailor","W",49.5,"AMPO",0.94
"plot_47","bx24","sailor","b",58.5,"HMBOA",4.29
"plot_47","bx24","sailor","b",58.5,"HDMBOA-Glc",7.17
"plot_47","bx24","sailor","b",58.5,"MBOA",3.26
"plot_47","bx24","sailor","b",58.5,"AMPO",0.51
"plot_48","WT24","sailor","W",67.5,"HMBOA",13.47
"plot_48","WT24","sailor","W",67.5,"HDMBOA-Glc",16.61
"plot_48","WT24","sailor","W",67.5,"MBOA",5.86
"plot_48","WT24","sailor","W",67.5,"AMPO",1.09
"plot_49","bx25","sailor","b",76.5,"HMBOA",5.56
"plot_49","bx25","sailor","b",76.5,"HDMBOA-Glc",7.82
"plot_49","bx25","sailor","b",76.5,"MBOA",2.89
"plot_49","bx25","sailor","b",76.5,"AMPO",0.52
"plot_50","WT25","sailor","W",85.5,"HMBOA",5.46
"plot_50","WT25","sailor","W",85.5,"HDMBOA-Glc",7.29
"plot_50","WT25","sailor","W",85.5,"MBOA",3.66
"plot_50","WT25","sailor","W",85.5,"AMPO",0.7
"plot_51","bx26","sailor","b",4.5,"HMBOA",19.4
"plot_51","bx26","sailor","b",4.5,"HDMBOA-Glc",25.35
"plot_51","bx26","sailor","b",4.5,"MBOA",7.87
"plot_51","bx26","sailor","b",4.5,"AMPO",0.54
"plot_52","WT26","sailor","W",13.5,"HMBOA",20.03
"plot_52","WT26","sailor","W",13.5,"HDMBOA-Glc",31.72
"plot_52","WT26","sailor","W",13.5,"MBOA",NA
"plot_52","WT26","sailor","W",13.5,"AMPO",0.73
"plot_53","bx27","sailor","b",22.5,"HMBOA",20.35
"plot_53","bx27","sailor","b",22.5,"HDMBOA-Glc",17.7
"plot_53","bx27","sailor","b",22.5,"MBOA",6.12
"plot_53","bx27","sailor","b",22.5,"AMPO",0.53
"plot_54","WT27","sailor","W",31.5,"HMBOA",12.69
"plot_54","WT27","sailor","W",31.5,"HDMBOA-Glc",13.53
"plot_54","WT27","sailor","W",31.5,"MBOA",5.45
"plot_54","WT27","sailor","W",31.5,"AMPO",0.44
"plot_55","bx28","sailor","b",40.5,"HMBOA",9.47
"plot_55","bx28","sailor","b",40.5,"HDMBOA-Glc",13.62
"plot_55","bx28","sailor","b",40.5,"MBOA",4.13
"plot_55","bx28","sailor","b",40.5,"AMPO",0.48
"plot_56","WT28","sailor","W",49.5,"HMBOA",NA
"plot_56","WT28","sailor","W",49.5,"HDMBOA-Glc",5.76
"plot_56","WT28","sailor","W",49.5,"MBOA",NA
"plot_56","WT28","sailor","W",49.5,"AMPO",0.71
"plot_57","bx29","sailor","b",58.5,"HMBOA",34.22
"plot_57","bx29","sailor","b",58.5,"HDMBOA-Glc",9.94
"plot_57","bx29","sailor","b",58.5,"MBOA",NA
"plot_57","bx29","sailor","b",58.5,"AMPO",NA
"plot_58","WT29","sailor","W",67.5,"HMBOA",4.51
"plot_58","WT29","sailor","W",67.5,"HDMBOA-Glc",13.92
"plot_58","WT29","sailor","W",67.5,"MBOA",3.63
"plot_58","WT29","sailor","W",67.5,"AMPO",1.11
"plot_59","bx30","sailor","b",76.5,"HMBOA",12.09
"plot_59","bx30","sailor","b",76.5,"HDMBOA-Glc",NA
"plot_59","bx30","sailor","b",76.5,"MBOA",6.86
"plot_59","bx30","sailor","b",76.5,"AMPO",0.47
"plot_60","WT30","sailor","W",85.5,"HMBOA",14.14
"plot_60","WT30","sailor","W",85.5,"HDMBOA-Glc",24.34
"plot_60","WT30","sailor","W",85.5,"MBOA",6.63
"plot_60","WT30","sailor","W",85.5,"AMPO",0.74
