"sample_nr","plot_id","sample_id","wheat_var","trt","pos_y","germ","chlorophyll","height_mean","fresh_weight","dry_weight","water_content"
"Exp_9_80","plot_40","WT20_b","claro","W",85.5,261.333333333333,44.9,90.09,5856,1012.72,82.7062841530055
"Exp_9_81","plot_41","bx21_a","sailor","b",4.5,261.333333333333,34.9,86.04,2716,605.52,77.7054491899853
"Exp_9_82","plot_41","bx21_b","sailor","b",4.5,202.666666666667,36.3,85.15,3716,771.12,79.248654467169
"Exp_9_83","plot_42","WT21_a","sailor","W",13.5,256,39,88.04,4016,873.12,78.2589641434263
"Exp_9_84","plot_42","WT21_b","sailor","W",13.5,245.333333333333,38.4,89.89,3600,765.92,78.7244444444444
"Exp_9_85","plot_43","bx22_a","sailor","b",22.5,224,42.4,88.86,3792,856.24,77.4198312236287
"Exp_9_86","plot_43","bx22_b","sailor","b",22.5,208,39.3,92.16,3668,833.76,77.2693565976009
"Exp_9_87","plot_44","WT22_a","sailor","W",31.5,197.333333333333,41.2,89.76,3968,818.16,79.3810483870968
"Exp_9_88","plot_44","WT22_b","sailor","W",31.5,240,39,90.3,3552,746.48,78.9842342342342
"Exp_9_89","plot_45","bx23_a","sailor","b",40.5,213.333333333333,37.3,79.59,3400,829.2,75.6117647058824
"Exp_9_90","plot_45","bx23_b","sailor","b",40.5,218.666666666667,35.3,79.46,3640,846,76.7582417582418
"Exp_9_91","plot_46","WT23_a","sailor","W",49.5,229.333333333333,39.3,87.71,3380,749.12,77.8366863905325
"Exp_9_92","plot_46","WT23_b","sailor","W",49.5,213.333333333333,39.8,87.55,4068,969.52,76.1671583087512
"Exp_9_93","plot_47","bx24_a","sailor","b",58.5,240,38.3,83.48,3340,705.92,78.8646706586826
"Exp_9_94","plot_47","bx24_b","sailor","b",58.5,218.666666666667,40.1,83.39,4036,869.68,78.4519326065411
"Exp_9_95","plot_48","WT24_a","sailor","W",67.5,218.666666666667,39.6,85.73,3180,701.84,77.9295597484277
"Exp_9_96","plot_48","WT24_b","sailor","W",67.5,245.333333333333,38,81.93,2792,625.04,77.6131805157593
"Exp_9_97","plot_49","bx25_a","sailor","b",76.5,218.666666666667,38.6,81.49,1960,486.72,75.1673469387755
"Exp_9_98","plot_49","bx25_b","sailor","b",76.5,245.333333333333,39.8,78.85,2000,480.56,75.972
"Exp_9_99","plot_50","WT25_a","sailor","W",85.5,261.333333333333,36.2,85.74,3104,791.92,74.4871134020619
"Exp_9_100","plot_50","WT25_b","sailor","W",85.5,250.666666666667,38.5,84.91,3264,767.12,76.4975490196078
"Exp_9_101","plot_51","bx26_a","sailor","b",4.5,240,35.7,87.27,3928,793.52,79.7983706720978
"Exp_9_102","plot_51","bx26_b","sailor","b",4.5,229.333333333333,34.8,87.8,4196,826.72,80.2974261201144
"Exp_9_103","plot_52","WT26_a","sailor","W",13.5,282.666666666667,37.2,94.78,3544,718.96,79.7133182844244
"Exp_9_104","plot_52","WT26_b","sailor","W",13.5,261.333333333333,38.3,92.75,4360,901.44,79.3247706422018
"Exp_9_105","plot_53","bx27_a","sailor","b",22.5,240,38.9,93.46,4288,913.44,78.6977611940299
"Exp_9_106","plot_53","bx27_b","sailor","b",22.5,229.333333333333,37.7,95.88,2488,579.68,76.7009646302251
"Exp_9_107","plot_54","WT27_a","sailor","W",31.5,261.333333333333,42.1,89.73,4336,917.84,78.8321033210332
"Exp_9_108","plot_54","WT27_b","sailor","W",31.5,256,43,91.53,3220,690.08,78.5689440993789
"Exp_9_109","plot_55","bx28_a","sailor","b",40.5,240,39,80.23,2532,577.6,77.1879936808847
