"sample_nr","plot_id","sample_id","wheat_var","trt","pos_y","number_oulema_larv","nr_lar_per_stem"
"Exp_9_105","plot_53","bx27_a","sailor","b",22.5,31,0.392405063291139
"Exp_9_106","plot_53","bx27_b","sailor","b",22.5,35,0.945945945945946
"Exp_9_107","plot_54","WT27_a","sailor","W",31.5,18,0.202247191011236
"Exp_9_108","plot_54","WT27_b","sailor","W",31.5,11,0.146666666666667
"Exp_9_109","plot_55","bx28_a","sailor","b",40.5,17,0.278688524590164
"Exp_9_110","plot_55","bx28_b","sailor","b",40.5,25,0.409836065573771
"Exp_9_111","plot_56","WT28_a","sailor","W",49.5,18,0.233766233766234
"Exp_9_112","plot_56","WT28_b","sailor","W",49.5,12,0.214285714285714
"Exp_9_113","plot_57","bx29_a","sailor","b",58.5,28,0.583333333333333
"Exp_9_114","plot_57","bx29_b","sailor","b",58.5,49,1.02083333333333
"Exp_9_115","plot_58","WT29_a","sailor","W",67.5,17,0.242857142857143
"Exp_9_116","plot_58","WT29_b","sailor","W",67.5,16,0.192771084337349
"Exp_9_117","plot_59","bx30_a","sailor","b",76.5,53,0.803030303030303
"Exp_9_118","plot_59","bx30_b","sailor","b",76.5,66,0.985074626865672
"Exp_9_119","plot_60","WT30_a","sailor","W",85.5,20,0.263157894736842
"Exp_9_120","plot_60","WT30_b","sailor","W",85.5,21,0.276315789473684
