"plot_id","sample_id","wheat_var","trt","pos_y","hormone","concentration"
"plot_53","bx27","sailor","b",22.5,"OPDA",1.90654205607477
"plot_54","WT27","sailor","W",31.5,"SA",47.5
"plot_54","WT27","sailor","W",31.5,"ABA",11.125
"plot_54","WT27","sailor","W",31.5,"JA",0.103214285714286
"plot_54","WT27","sailor","W",31.5,"JA_Ile",0.0464285714285714
"plot_54","WT27","sailor","W",31.5,"OPDA",1.56785714285714
"plot_55","bx28","sailor","b",40.5,"SA",62.5688073394495
"plot_55","bx28","sailor","b",40.5,"ABA",12.6788990825688
"plot_55","bx28","sailor","b",40.5,"JA",0.18256880733945
"plot_55","bx28","sailor","b",40.5,"JA_Ile",0.105688073394495
"plot_55","bx28","sailor","b",40.5,"OPDA",1.22752293577982
"plot_56","WT28","sailor","W",49.5,"SA",98.4761904761905
"plot_56","WT28","sailor","W",49.5,"ABA",12.552380952381
"plot_56","WT28","sailor","W",49.5,"JA",0.422857142857143
"plot_56","WT28","sailor","W",49.5,"JA_Ile",0.170666666666667
"plot_56","WT28","sailor","W",49.5,"OPDA",1.22666666666667
"plot_57","bx29","sailor","b",58.5,"SA",114.081632653061
"plot_57","bx29","sailor","b",58.5,"ABA",11.4897959183673
"plot_57","bx29","sailor","b",58.5,"JA",0.189591836734694
"plot_57","bx29","sailor","b",58.5,"JA_Ile",0.0481632653061225
"plot_57","bx29","sailor","b",58.5,"OPDA",2.91836734693878
"plot_58","WT29","sailor","W",67.5,"SA",103.137254901961
"plot_58","WT29","sailor","W",67.5,"ABA",14.6274509803922
"plot_58","WT29","sailor","W",67.5,"JA",0.57843137254902
"plot_58","WT29","sailor","W",67.5,"JA_Ile",0.225490196078431
"plot_58","WT29","sailor","W",67.5,"OPDA",2.11764705882353
"plot_59","bx30","sailor","b",76.5,"SA",77.1739130434783
"plot_59","bx30","sailor","b",76.5,"ABA",13.3478260869565
"plot_59","bx30","sailor","b",76.5,"JA",0.184347826086957
"plot_59","bx30","sailor","b",76.5,"JA_Ile",0.110869565217391
"plot_59","bx30","sailor","b",76.5,"OPDA",1.86086956521739
"plot_60","WT30","sailor","W",85.5,"SA",93.9024390243902
"plot_60","WT30","sailor","W",85.5,"ABA",16.1707317073171
"plot_60","WT30","sailor","W",85.5,"JA",0.829268292682927
"plot_60","WT30","sailor","W",85.5,"JA_Ile",0.282926829268293
"plot_60","WT30","sailor","W",85.5,"OPDA",1.20243902439024
