"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV92"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiaceae"	"g__Glarea"	"s__lozoyensis"
"ASV93"	"k__Fungi"	"p__Ascomycota"	"c__Pezizomycetes"	"o__Pezizales"	"f__Ascobolaceae"	"g__Ascobolus"	"s__foliicola"
"ASV94"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	NA
"ASV95"	"k__Fungi"	"p__Ascomycota"	"c__Eurotiomycetes"	"o__Chaetothyriales"	"f__Herpotrichiellaceae"	"g__Exophiala"	"s__pisciphila"
"ASV96"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Microascales"	"f__Ceratocystidaceae"	"g__Ceratocystis"	NA
"ASV97"	"k__Fungi"	"p__Mucoromycota"	"c__Mucoromycetes"	"o__Mucorales"	"f__Mucoraceae"	"g__Mucor"	"s__hiemalis"
"ASV98"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV99"	"k__Fungi"	"p__Basidiomycota"	"c__Microbotryomycetes"	"o__Leucosporidiales"	"f__Leucosporidiaceae"	"g__Leucosporidium"	"s__intermedium"
"ASV100"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusicolla"	"s__septimanifiniscientiae"
"ASV101"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV102"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Ceratobasidiaceae"	"g__Ceratobasidium"	NA
"ASV103"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	NA	NA	NA	NA
"ASV104"	"k__Fungi"	"p__Chytridiomycota"	"c__Rhizophydiomycetes"	"o__Rhizophydiales"	"f__Rhizophydiaceae"	"g__Rhizophydium"	"s__brooksianum"
"ASV105"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	NA	NA	NA
"ASV106"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	NA	NA	NA	NA
"ASV107"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Lasiosphaeriaceae"	"g__Schizothecium"	"s__glutinans"
"ASV108"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Agaricales"	"f__Psathyrellaceae"	"g__Coprinopsis"	NA
"ASV109"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Thelebolales"	"f__Thelebolaceae"	"g__Thelebolus"	"s__globosus"
"ASV110"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiales_fam_Incertae_sedis"	"g__Collembolispora"	NA
"ASV111"	"k__Fungi"	"p__Chytridiomycota"	"c__Rhizophydiomycetes"	"o__Rhizophydiales"	"f__Rhizophydiales_fam_Incertae_sedis"	"g__Operculomyces"	"s__laminatus"
"ASV112"	"k__Fungi"	"p__Ascomycota"	"c__Leotiomycetes"	"o__Helotiales"	"f__Helotiaceae"	"g__Articulospora"	"s__proliferata"
"ASV113"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Ceratobasidiaceae"	"g__Rhizoctonia"	NA
"ASV114"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	NA	NA	NA	NA
"ASV115"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	"s__cystojenkinii"
"ASV116"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Hypocreales"	"f__Nectriaceae"	"g__Fusarium"	"s__acutatum"
"ASV117"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Lasiosphaeriaceae"	NA	NA
"ASV118"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Ceratobasidiaceae"	NA	NA
